Model,MAE,RMSE,MAPE (%)
Baseline,97.81601270039876,126.59456199963456,2.645011762902011
ARIMA,455.7049688164792,508.3514215541165,12.895958901930543
Auto ARIMA,459.8628992780854,510.43245588317524,13.078722927279967
LSTM,72.89016474485759,96.04996726053919,1.9557036375885166
Prophet,822.1982804497145,1025.9634513886301,24.853149827449258
