Date,Open,High,Low,Close,Volume,MA20,MA50,Daily_Return,Volatility,lag_1,lag_2,lag_3,lag_5,lag_10,rolling_mean_5,rolling_mean_10,rolling_std_5,rolling_std_10,momentum,price_change,target
2018-03-14,1446.4749755859375,1461.5250244140625,1437.5250244140625,1443.449951171875,3668668,1499.853759765625,1476.5520092773438,3.458968890668324e-05,0.0175965446515058,1443.4000244140625,1526.074951171875,1517.050048828125,1513.7249755859375,1521.175048828125,1486.389990234375,1505.6375,40.15535830344492,35.22625886408231,-70.2750244140625,-3.0250244140625,1428.375
2018-03-15,1447.5,1451.2750244140625,1427.800048828125,1434.8499755859375,2348906,1498.8012573242188,1478.7930078125,-0.0059579312597264,0.0171554113173279,1443.449951171875,1443.4000244140625,1526.074951171875,1501.9749755859375,1517.5250244140625,1472.964990234375,1497.3699951171875,44.61541050597008,41.303817187246565,-67.125,-12.6500244140625,1415.675048828125
2018-03-16,1434.4000244140625,1436.0,1402.5,1412.8499755859375,7197482,1496.2975036621094,1480.7380078125,-0.0153326134260245,0.0174110006778121,1434.8499755859375,1443.449951171875,1443.4000244140625,1517.050048828125,1518.8499755859375,1452.1249755859376,1486.7699951171876,43.188340326692746,48.204070792554425,-104.2000732421875,-21.550048828125,1409.074951171875
2018-03-19,1414.5,1424.0,1410.0,1415.5,3489940,1493.7462524414063,1482.6615087890625,0.0018756587464026,0.017404318789607,1412.8499755859375,1434.8499755859375,1443.449951171875,1526.074951171875,1552.925048828125,1430.0099853515626,1473.027490234375,14.902658679529365,46.81767073413395,-110.574951171875,1.0,1408.5
2018-03-20,1410.0,1436.5999755859375,1409.5,1432.425048828125,4024984,1492.2775024414063,1484.7390087890626,0.011956940182356,0.0176600073682951,1415.5,1412.8499755859375,1434.8499755859375,1443.4000244140625,1521.4000244140625,1427.814990234375,1464.1299926757813,13.141597225531362,45.023512615150004,-10.9749755859375,22.425048828125,1423.8499755859375
2018-03-21,1436.25,1442.1500244140625,1425.0,1428.375,3907678,1490.0775024414063,1486.4145092773438,-0.0028274071522543,0.0175601941406702,1432.425048828125,1415.5,1412.8499755859375,1443.449951171875,1513.7249755859375,1424.8,1455.5949951171874,10.015202037477037,42.60196335067931,-15.074951171875,-7.875,1424.574951171875
2018-03-22,1429.9749755859375,1437.9749755859375,1411.2750244140625,1415.675048828125,2326094,1484.803753662109,1487.5840112304688,-0.0088911883587118,0.0156227484870717,1428.375,1432.425048828125,1415.5,1434.8499755859375,1501.9749755859375,1420.9650146484375,1446.9650024414063,8.802616781156681,40.868457437100986,-19.1749267578125,-14.2999267578125,1454.824951171875
2018-03-23,1401.0,1417.050048828125,1399.0250244140625,1409.074951171875,3654122,1479.0025024414062,1488.6755102539062,-0.0046621558116133,0.0155586197708533,1415.675048828125,1428.375,1432.425048828125,1412.8499755859375,1517.050048828125,1420.210009765625,1436.1674926757812,9.780258654670591,33.97704683783631,-3.7750244140625,8.074951171875,1455.625
2018-03-26,1409.5,1413.699951171875,1390.7750244140625,1408.5,2964210,1472.5325012207031,1488.7795092773438,-0.0004080344848915,0.0153172730552894,1409.074951171875,1415.675048828125,1428.375,1415.5,1526.074951171875,1418.810009765625,1424.4099975585937,11.042576399189924,13.702025599707628,-7.0,-1.0,1455.449951171875
2018-03-27,1412.5,1431.5,1411.5250244140625,1423.8499755859375,2494574,1467.9325012207032,1489.3515087890626,0.0108981012324724,0.0154829116148097,1408.5,1409.074951171875,1415.675048828125,1432.425048828125,1443.4000244140625,1417.0949951171874,1422.4549926757813,8.8470272507567,11.977671882556264,-8.5750732421875,11.3499755859375,1478.9749755859375
