Date,Open,High,Low,Close,Volume,MA20,MA50,Daily_Return,Volatility
2018-01-01,1341.1500244140625,1347.4000244140625,1317.5,1322.800048828125,1351760,,,,
2018-01-02,1330.0,1334.800048828125,1310.0999755859375,1315.5999755859375,1920290,,,-0.005443054865749475,
2018-01-03,1316.0,1334.5,1315.5999755859375,1319.324951171875,1257120,,,0.002831389217895497,
2018-01-04,1325.0,1331.0,1320.0,1328.550048828125,913082,,,0.0069922862051960966,
2018-01-05,1325.0,1349.75,1325.0,1344.5999755859375,1153706,,,0.012080784440126724,
2018-01-08,1350.0,1363.425048828125,1340.925048828125,1357.199951171875,1242220,,,0.0093707986127598,
2018-01-09,1357.5,1360.5,1338.2750244140625,1354.5,2149396,,,-0.0019893540148919753,
2018-01-10,1355.5,1408.0,1347.324951171875,1403.300048828125,3365850,,,0.03602809068152446,
2018-01-11,1405.0,1410.949951171875,1391.0999755859375,1395.25,2520744,,,-0.005736512896758916,
2018-01-12,1402.5,1402.5,1370.2750244140625,1388.175048828125,3360314,,,-0.005070740850653954,
2018-01-15,1388.574951171875,1404.0,1367.5250244140625,1373.050048828125,1457214,,,-0.010895599955328628,
2018-01-16,1378.0,1430.824951171875,1375.2750244140625,1425.425048828125,4267752,,,0.03814500428786349,
2018-01-17,1435.0,1462.5,1431.074951171875,1444.4749755859375,4280806,,,0.013364383327958196,
2018-01-18,1448.5,1466.5,1434.0250244140625,1459.0999755859375,2209478,,,0.010124785992964291,
2018-01-19,1465.2750244140625,1491.0,1451.824951171875,1479.6500244140625,1820000,,,0.014084058098810193,
2018-01-22,1480.5,1567.3499755859375,1461.0,1558.199951171875,4367110,,,0.053086828278138265,
2018-01-23,1557.4749755859375,1571.175048828125,1545.0250244140625,1551.0,3239610,,,-0.004620685019570248,
2018-01-24,1545.0,1629.5250244140625,1541.324951171875,1587.300048828125,5621538,,,0.02340428680085438,
2018-01-25,1587.5,1589.9000244140625,1540.5,1560.5250244140625,3833844,,,-0.016868281730243795,
2018-01-29,1565.699951171875,1612.5,1561.0,1599.425048828125,3141060,1428.372509765625,,0.024927523625369874,
2018-01-30,1590.0,1601.9000244140625,1571.8499755859375,1576.425048828125,1574758,1441.053759765625,,-0.014380167433823643,0.01867210059751249
2018-01-31,1568.5,1575.0,1549.300048828125,1556.175048828125,3043214,1453.0825134277343,,-0.01284552032147257,0.01904256581429998
2018-02-01,1562.0,1595.0,1544.4000244140625,1569.300048828125,2400630,1465.5812683105469,,0.008434141139766815,0.018994361145384202
2018-02-02,1560.0,1595.0,1551.7249755859375,1576.824951171875,2456490,1477.9950134277344,,0.0047950692089566704,0.019012210886641276
